00007FFDC1D8E1E4 Export 148  CloseThreadpoolTimer
00007FFDC1D8E20D Export 149  CloseThreadpoolWait
00007FFDC1D8E235 Export 150  CloseThreadpoolWork
00007FFDC1D0FF70 Export 151  CmdBatNotification
00007FFDC1D2CAD0 Export 152  CommConfigDialogA
00007FFDC1D2CB80 Export 153  CommConfigDialogW
00007FFDC1D39670 Export 154  CompareCalendarDates
00007FFDC1D14B10 Export 155  CompareFileTime
00007FFDC1D0D620 Export 156  CompareStringA
00007FFDC1D05C50 Export 157  CompareStringEx
00007FFDC1D05DF0 Export 158  CompareStringOrdinal
00007FFDC1D0C6A0 Export 159  CompareStringW
00007FFDC1D10FD0 Export 160  ConnectNamedPipe
00007FFDC1D58B80 Export 161  ConsoleMenuControl
00007FFDC1D298D0 Export 162  ContinueDebugEvent
00007FFDC1D39720 Export 163  ConvertCalDateTimeToSystemTime
00007FFDC1D298F0 Export 164  ConvertDefaultLocale
00007FFDC1D151E0 Export 165  ConvertFiberToThread
00007FFDC1D39820 Export 166  ConvertNLSDayOfWeekToWin32DayOfWeek
00007FFDC1CF74B0 Export 167  ConvertSystemTimeToCalDateTime
00007FFDC1D151F0 Export 168  ConvertThreadToFiber
00007FFDC1D15200 Export 169  ConvertThreadToFiberEx
00007FFDC1D29910 Export 170  CopyContext
00007FFDC1D29930 Export 171  CopyFile2
00007FFDC1D50EF0 Export 172  CopyFileA
00007FFDC1D50FA0 Export 173  CopyFileExA
00007FFDC1D106C0 Export 174  CopyFileExW
00007FFDC1D51060 Export 175  CopyFileTransactedA
00007FFDC1D51150 Export 176  CopyFileTransactedW
00007FFDC1D151D0 Export 177  CopyFileW
00007FFDC1D26A80 Export 178  CopyLZFile
00007FFDC1D11BC0 Export 179  CreateActCtxA
00007FFDC1D11190 Export 180  CreateActCtxW
00007FFDC1D037B0 Export 181  CreateActCtxWWorker
00007FFDC1D50D60 Export 182  CreateBoundaryDescriptorA
00007FFDC1D10840 Export 183  CreateBoundaryDescriptorW
00007FFDC1D153D0 Export 184  CreateConsoleScreenBuffer
00007FFDC1D14B20 Export 185  CreateDirectoryA
00007FFDC1D51B80 Export 186  CreateDirectoryExA
00007FFDC1D29950 Export 187  CreateDirectoryExW
00007FFDC1D26DE0 Export 188  CreateDirectoryTransactedA
00007FFDC1D51C10 Export 189  CreateDirectoryTransactedW
00007FFDC1D14B30 Export 190  CreateDirectoryW
00007FFDC1D8E556 Export 191  CreateEnclave
00007FFDC1D14930 Export 192  CreateEventA
00007FFDC1D14940 Export 193  CreateEventExA
00007FFDC1D14950 Export 194  CreateEventExW
00007FFDC1D14960 Export 195  CreateEventW
00007FFDC1D15210 Export 196  CreateFiber
00007FFDC1D15220 Export 197  CreateFiberEx
00007FFDC1D14B40 Export 198  CreateFile2
00007FFDC1D14B50 Export 199  CreateFileA
00007FFDC1D0BCB0 Export 200  CreateFileMappingA
00007FFDC1D8E619 Export 201  CreateFileMappingFromApp
00007FFDC1D51DC0 Export 202  CreateFileMappingNumaA
00007FFDC1D29970 Export 203  CreateFileMappingNumaW
00007FFDC1D0C8E0 Export 204  CreateFileMappingW
00007FFDC1D51250 Export 205  CreateFileTransactedA
00007FFDC1D51310 Export 206  CreateFileTransactedW
00007FFDC1D14B60 Export 207  CreateFileW
00007FFDC1D29990 Export 208  CreateHardLinkA
00007FFDC1D32840 Export 209  CreateHardLinkTransactedA
00007FFDC1D51E90 Export 210  CreateHardLinkTransactedW
00007FFDC1D299B0 Export 211  CreateHardLinkW
00007FFDC1D0D950 Export 212  CreateIoCompletionPort
00007FFDC1D4B2A0 Export 213  CreateJobObjectA
00007FFDC1D0E1F0 Export 214  CreateJobObjectW
00007FFDC1D4B310 Export 215  CreateJobSet
00007FFDC1D0BE60 Export 216  CreateMailslotA
00007FFDC1D0BED0 Export 217  CreateMailslotW
00007FFDC1D108E0 Export 218  CreateMemoryResourceNotification
00007FFDC1D14970 Export 219  CreateMutexA
00007FFDC1D14980 Export 220  CreateMutexExA
00007FFDC1D14990 Export 221  CreateMutexExW
00007FFDC1D149A0 Export 222  CreateMutexW
00007FFDC1D50740 Export 223  CreateNamedPipeA
00007FFDC1D10270 Export 224  CreateNamedPipeW
00007FFDC1D10250 Export 225  CreatePipe
00007FFDC1D50DD0 Export 226  CreatePrivateNamespaceA
00007FFDC1D10800 Export 227  CreatePrivateNamespaceW
00007FFDC1D0C760 Export 228  CreateProcessA
00007FFDC1D299D0 Export 229  CreateProcessAsUserA
00007FFDC1D0DAC0 Export 230  CreateProcessAsUserW
00007FFDC1D29A50 Export 231  CreateProcessInternalA
00007FFDC1D29AD0 Export 232  CreateProcessInternalW
00007FFDC1D0CB60 Export 233  CreateProcessW
00007FFDC1D152C0 Export 234  CreatePseudoConsole
00007FFDC1D29B50 Export 235  CreateRemoteThread
00007FFDC1D8E8EB Export 236  CreateRemoteThreadEx
00007FFDC1D0BD80 Export 237  CreateSemaphoreA
00007FFDC1D0BDB0 Export 238  CreateSemaphoreExA
00007FFDC1D149B0 Export 239  CreateSemaphoreExW
00007FFDC1D149C0 Export 240  CreateSemaphoreW
00007FFDC1D52460 Export 241  CreateSymbolicLinkA
00007FFDC1D52520 Export 242  CreateSymbolicLinkTransactedA
00007FFDC1D525E0 Export 243  CreateSymbolicLinkTransactedW
00007FFDC1D29BA0 Export 244  CreateSymbolicLinkW
00007FFDC1D32580 Export 245  CreateTapePartition
00007FFDC1D0B5A0 Export 246  CreateThread
00007FFDC1D10C30 Export 247  CreateThreadpool
00007FFDC1D111B0 Export 248  CreateThreadpoolCleanupGroup
00007FFDC1D10D60 Export 249  CreateThreadpoolIo
00007FFDC1D0C660 Export 250  CreateThreadpoolTimer
00007FFDC1D107A0 Export 251  CreateThreadpoolWait
00007FFDC1D105B0 Export 252  CreateThreadpoolWork
00007FFDC1D11240 Export 253  CreateTimerQueue
00007FFDC1D0E2A0 Export 254  CreateTimerQueueTimer
00007FFDC1D16450 Export 255  CreateToolhelp32Snapshot
